Epoch [1/500], Train Loss: 1.3890, Train Accuracy: 24.20%
Epoch [11/500], Train Loss: 1.2723, Train Accuracy: 67.35%
Epoch [21/500], Train Loss: 1.1018, Train Accuracy: 89.30%
Epoch [31/500], Train Loss: 0.9149, Train Accuracy: 91.89%
Epoch [41/500], Train Loss: 0.7378, Train Accuracy: 92.57%
Epoch [51/500], Train Loss: 0.5899, Train Accuracy: 92.98%
Epoch [61/500], Train Loss: 0.4791, Train Accuracy: 93.12%
Epoch [71/500], Train Loss: 0.4018, Train Accuracy: 93.39%
Epoch [81/500], Train Loss: 0.3490, Train Accuracy: 93.66%
Epoch [91/500], Train Loss: 0.3124, Train Accuracy: 94.07%
Epoch [101/500], Train Loss: 0.2861, Train Accuracy: 94.48%
Epoch [111/500], Train Loss: 0.2665, Train Accuracy: 94.55%
Epoch [121/500], Train Loss: 0.2513, Train Accuracy: 94.89%
Epoch [131/500], Train Loss: 0.2391, Train Accuracy: 95.02%
Epoch [141/500], Train Loss: 0.2290, Train Accuracy: 95.30%
Epoch [151/500], Train Loss: 0.2205, Train Accuracy: 95.57%
Epoch [161/500], Train Loss: 0.2131, Train Accuracy: 95.57%
Epoch [171/500], Train Loss: 0.2067, Train Accuracy: 95.64%
Epoch [181/500], Train Loss: 0.2010, Train Accuracy: 95.77%
Epoch [191/500], Train Loss: 0.1960, Train Accuracy: 95.91%
Epoch [201/500], Train Loss: 0.1915, Train Accuracy: 96.11%
Epoch [211/500], Train Loss: 0.1874, Train Accuracy: 96.25%
Epoch [221/500], Train Loss: 0.1838, Train Accuracy: 96.39%
Epoch [231/500], Train Loss: 0.1804, Train Accuracy: 96.52%
Epoch [241/500], Train Loss: 0.1773, Train Accuracy: 96.59%
Epoch [251/500], Train Loss: 0.1745, Train Accuracy: 96.59%
Epoch [261/500], Train Loss: 0.1719, Train Accuracy: 96.59%
Epoch [271/500], Train Loss: 0.1694, Train Accuracy: 96.66%
Epoch [281/500], Train Loss: 0.1672, Train Accuracy: 96.66%
Epoch [291/500], Train Loss: 0.1651, Train Accuracy: 96.66%
Epoch [301/500], Train Loss: 0.1631, Train Accuracy: 96.66%
Epoch [311/500], Train Loss: 0.1613, Train Accuracy: 96.66%
Epoch [321/500], Train Loss: 0.1596, Train Accuracy: 96.66%
Epoch [331/500], Train Loss: 0.1580, Train Accuracy: 96.66%
Epoch [341/500], Train Loss: 0.1565, Train Accuracy: 96.66%
Epoch [351/500], Train Loss: 0.1551, Train Accuracy: 96.66%
Epoch [361/500], Train Loss: 0.1538, Train Accuracy: 96.66%
Epoch [371/500], Train Loss: 0.1526, Train Accuracy: 96.66%
Epoch [381/500], Train Loss: 0.1514, Train Accuracy: 96.66%
Epoch [391/500], Train Loss: 0.1503, Train Accuracy: 96.66%
Epoch [401/500], Train Loss: 0.1492, Train Accuracy: 96.66%
Epoch [411/500], Train Loss: 0.1482, Train Accuracy: 96.73%
Epoch [421/500], Train Loss: 0.1473, Train Accuracy: 96.66%
Epoch [431/500], Train Loss: 0.1464, Train Accuracy: 96.73%
Epoch [441/500], Train Loss: 0.1455, Train Accuracy: 96.80%
Epoch [451/500], Train Loss: 0.1447, Train Accuracy: 96.73%
Epoch [461/500], Train Loss: 0.1440, Train Accuracy: 96.73%
Epoch [471/500], Train Loss: 0.1432, Train Accuracy: 96.73%
Epoch [481/500], Train Loss: 0.1426, Train Accuracy: 96.73%
Epoch [491/500], Train Loss: 0.1419, Train Accuracy: 96.73%
