id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Label,Q5_list,p,f,s,o,Q6_max,Q6_min
42659,4.0,1.0,2.0,1.0,Co-worker,"Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",25,7.0,100,Slavery,Dubai,['Co-worker'],0,0,0,1,Skyscrapers,Carnival
508149,4.0,3.0,5.0,2.0,Co-worker,"Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>4,Economic=>5",20,3.0,4,"Wherever there is great property, there is great inequality.",Dubai,['Co-worker'],0,0,0,1,Skyscrapers,Sport
496935,5.0,4.0,5.0,1.0,"Partner,Friends","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>3,Cuisine=>4,Economic=>5",32,5.0,4,Futuristic land,Dubai,"['Partner', 'Friends']",1,1,0,0,Skyscrapers,Sport
502824,5.0,4.0,4.0,1.0,"Partner,Friends","Skyscrapers=>6,Sport=>5,Art and Music=>1,Carnival=>2,Cuisine=>4,Economic=>3",23,10.0,3,The city where anything is possible,Dubai,"['Partner', 'Friends']",1,1,0,0,Skyscrapers,Art and Music
523028,4.0,3.0,3.0,3.0,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>1,Carnival=>2,Cuisine=>3,Economic=>5",20,10.0,5,"If you can think of a high building, it probably exists in Dubai.",Dubai,"['Partner', 'Friends', 'Siblings']",1,1,1,0,Skyscrapers,Art and Music
313531,3.0,4.0,5.0,4.0,Friends,"Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>3,Cuisine=>2,Economic=>5",10,3.0,10,Technology,Dubai,['Friends'],0,1,0,0,Skyscrapers,Sport
516887,4.0,2.0,3.0,2.0,"Partner,Friends,Siblings","Skyscrapers=>5,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>4,Economic=>6",25,3.0,4,Tallest building in the world.,Dubai,"['Partner', 'Friends', 'Siblings']",1,1,1,0,Economic,Sport
526257,4.0,3.0,4.0,4.0,Friends,"Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",22,3.0,2,Dubai will never settle for anything less than third place.,Dubai,['Friends'],0,1,0,0,Skyscrapers,Carnival
523726,3.0,4.0,3.0,2.0,"Partner,Siblings","Skyscrapers=>4,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>6,Economic=>5",25,10.0,5,There is so much to discover in Dubai,Dubai,"['Partner', 'Siblings']",1,0,1,0,Cuisine,Carnival
523497,4.0,4.0,5.0,2.0,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>5,Cuisine=>3,Economic=>4",20,3.0,5,City of the rich,Dubai,"['Partner', 'Friends']",1,1,0,0,Skyscrapers,Sport
602670,2.0,2.0,3.0,1.0,Siblings,"Skyscrapers=>5,Sport=>5,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>3",30,2.0,1,Nice,Dubai,['Siblings'],0,0,1,0,Skyscrapers,Carnival
525327,5.0,5.0,5.0,1.0,"Partner,Friends","Skyscrapers=>6,Sport=>2,Art and Music=>2,Carnival=>2,Cuisine=>3,Economic=>5",30,50.0,50,"""It was the best of times, it was the worst of times""",Dubai,"['Partner', 'Friends']",1,1,0,0,Skyscrapers,Sport
505458,3.0,2.0,2.0,1.0,"Partner,Friends","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>4,Cuisine=>2,Economic=>5",5,2.0,2,I barely know about this city,Dubai,"['Partner', 'Friends']",1,1,0,0,Skyscrapers,Art and Music
524987,5.0,4.0,5.0,2.0,Friends,"Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>4,Cuisine=>3,Economic=>5",25,5.0,3,The city of the richÂ ,Dubai,['Friends'],0,1,0,0,Skyscrapers,Sport
522044,5.0,4.0,5.0,5.0,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>4,Economic=>5",20,3.0,5,There is so much to discover in Dubai,Dubai,"['Partner', 'Friends', 'Siblings', 'Co-worker']",1,1,1,1,Skyscrapers,Sport
317274,4.0,3.0,2.0,3.0,Friends,"Skyscrapers=>6,Sport=>5,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>4",-5,1.0,1,"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",Dubai,['Friends'],0,1,0,0,Skyscrapers,Carnival
492618,2.0,3.0,4.0,5.0,Partner,"Skyscrapers=>5,Sport=>2,Art and Music=>4,Carnival=>2,Cuisine=>4,Economic=>5",15,5.0,5,just keep swimming,Dubai,['Partner'],1,0,0,0,Skyscrapers,Sport
308260,4.0,4.0,5.0,3.0,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",25,2.0,5,city with the tallest skyscraper,Dubai,"['Partner', 'Friends', 'Siblings']",1,1,1,0,Skyscrapers,Carnival
633733,5.0,3.0,5.0,4.0,Friends,"Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>2,Cuisine=>3,Economic=>5",25,2.0,1,the burj khalifa is the tallest building in the world,Dubai,['Friends'],0,1,0,0,Skyscrapers,Sport
412772,4.0,3.0,5.0,1.0,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",20,4.0,3,â€œI want you to deal with your problems by becoming rich!â€Â ,Dubai,"['Partner', 'Friends', 'Siblings']",1,1,1,0,Skyscrapers,Carnival
519655,5.0,4.0,5.0,3.0,Friends,"Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>3,Economic=>6",20,3.0,2,"warm, skyscrapers, rich, sand",Dubai,['Friends'],0,1,0,0,Skyscrapers,Carnival
519806,4.0,3.0,5.0,2.0,"Friends,Siblings","Skyscrapers=>1,Sport=>6,Art and Music=>5,Carnival=>3,Cuisine=>4,Economic=>2",28,7.0,10,"Habibi, come to Dubai",Dubai,"['Friends', 'Siblings']",0,1,1,0,Sport,Skyscrapers
495084,4.0,3.0,5.0,2.0,"Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",40,3.0,3,Desert,Dubai,"['Friends', 'Siblings']",0,1,1,0,Skyscrapers,Carnival
518845,5.0,4.0,3.0,2.0,"Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>3,Art and Music=>4,Carnival=>5,Cuisine=>5,Economic=>6",20,4.0,4,"""habibi welcome to dubai""",Dubai,"['Friends', 'Siblings', 'Co-worker']",0,1,1,1,Skyscrapers,Sport
500739,4.0,3.0,4.0,2.0,"Friends,Co-worker","Skyscrapers=>6,Sport=>4,Art and Music=>3,Carnival=>1,Cuisine=>2,Economic=>5",25,4.0,5,A city of the future in the middle of the desert,Dubai,"['Friends', 'Co-worker']",0,1,0,1,Skyscrapers,Carnival
618077,5.0,3.0,4.0,1.0,Co-worker,"Skyscrapers=>6,Sport=>1,Art and Music=>1,Carnival=>1,Cuisine=>1,Economic=>6",10,1.0,1,Skyscrapers in the middle of nowhereÂ ,Dubai,['Co-worker'],0,0,0,1,Skyscrapers,Sport
525469,4.0,4.0,3.0,5.0,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>1,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>6,Economic=>4","10,000",5.0,2,"AMMAZING, SPECTACULAR!!!!!!!",Dubai,"['Partner', 'Friends', 'Siblings', 'Co-worker']",1,1,1,1,Cuisine,Skyscrapers
310448,3.0,4.0,5.0,5.0,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>5,Cuisine=>1,Economic=>4",24,5.0,6,money make the world go round,Dubai,"['Partner', 'Friends']",1,1,0,0,Skyscrapers,Sport
492766,5.0,4.0,3.0,4.0,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>3,Cuisine=>6,Economic=>6",17,5.0,5,Black Gold,Dubai,"['Partner', 'Friends', 'Siblings']",1,1,1,0,Skyscrapers,Art and Music
393424,5.0,3.0,4.0,1.0,"Partner,Friends","Skyscrapers=>5,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>4,Economic=>6",17,5.0,4,Where dreams reach new heights.,Dubai,"['Partner', 'Friends']",1,1,0,0,Economic,Carnival
605738,5.0,4.0,5.0,3.0,"Partner,Friends","Skyscrapers=>5,Sport=>1,Art and Music=>4,Carnival=>3,Cuisine=>2,Economic=>6",18,3.0,4,Dubai,Dubai,"['Partner', 'Friends']",1,1,0,0,Economic,Sport
601562,4.0,4.0,4.0,3.0,Siblings,"Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>5,Economic=>4",30,4.0,10,The food here is expensive. This is where the rich people gather.,Dubai,['Siblings'],0,0,1,0,Skyscrapers,Sport
308262,5.0,5.0,5.0,4.0,Friends,"Skyscrapers=>6,Sport=>4,Art and Music=>1,Carnival=>2,Cuisine=>5,Economic=>3",20,10.0,10,Iâ€™m in a Dubai state of mind,Dubai,['Friends'],0,1,0,0,Skyscrapers,Art and Music
306699,4.0,3.0,4.0,4.0,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>2,Cuisine=>2,Economic=>3",10,3.0,5,"â€œWestern countries are dying, Dubai is growingâ€ Â â€”Andrew Tate",Dubai,"['Partner', 'Friends']",1,1,0,0,Skyscrapers,Sport
525021,5.0,5.0,4.0,4.0,"Partner,Friends","Skyscrapers=>4,Sport=>6,Art and Music=>6,Carnival=>3,Cuisine=>2,Economic=>4",0,10.0,10,"""started from the bottom now we here""",Dubai,"['Partner', 'Friends']",1,1,0,0,Sport,Cuisine
311267,3.0,2.0,4.0,3.0,"Partner,Friends","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>4,Cuisine=>2,Economic=>5",18,5.0,4,A city full of oil,Dubai,"['Partner', 'Friends']",1,1,0,0,Skyscrapers,Art and Music
